ITER,psnr3d,ssim3d,psnr2d,ssim2d,Timestamp
1,5.081,0.308,8.553,0.345,28/09 19:37:25
1500,6.222,0.014,9.171,0.35,28/09 19:39:45
3000,6.222,0.014,9.602,0.361,28/09 19:42:02
4500,6.222,0.014,10.142,0.389,28/09 19:44:20
6000,6.222,0.014,10.731,0.45,28/09 19:46:39
7500,6.222,0.014,10.775,0.507,28/09 19:48:59
9000,6.222,0.014,10.894,0.539,28/09 19:51:17
10500,6.222,0.014,10.923,0.549,28/09 19:53:33
12000,6.222,0.014,10.927,0.552,28/09 19:55:48
13500,6.222,0.014,10.95,0.554,28/09 19:58:04
15000,6.222,0.014,10.957,0.554,28/09 20:00:20
16500,6.222,0.014,10.962,0.555,28/09 20:02:37
18000,6.222,0.014,10.969,0.556,28/09 20:04:56
19500,6.222,0.014,10.983,0.556,28/09 20:07:12
21000,6.222,0.014,10.989,0.557,28/09 20:09:28
22500,6.222,0.014,10.987,0.557,28/09 20:11:47
24000,6.222,0.014,10.991,0.557,28/09 20:14:05
25500,6.222,0.014,10.995,0.557,28/09 20:16:22
27000,6.222,0.014,10.996,0.557,28/09 20:18:38
28500,6.222,0.014,10.997,0.557,28/09 20:20:54
30000,6.222,0.014,11.005,0.557,28/09 20:23:11
